[Aim] acquire | track locked
[Visual] aim step 1/200 | phase=center | uv=(-0.273,-0.498) | target=(+0.400,+0.000) | delta=(-0.273,-0.498) | scale=0.028 | droll=-2.30 | ds1=-4.18 | ds2=+2.09 | req_roll=-2.30 | req_seg=+4.18 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=91x91
[Visual] aim step 2/200 | phase=center | uv=(-0.273,-0.498) | target=(+0.400,+0.000) | delta=(-0.273,-0.498) | scale=0.028 | droll=-2.30 | ds1=-4.18 | ds2=+2.09 | req_roll=-2.30 | req_seg=+4.18 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=91x91
[Visual] aim step 3/200 | phase=center | uv=(-0.273,-0.485) | target=(+0.400,+0.000) | delta=(-0.273,-0.485) | scale=0.028 | droll=-2.30 | ds1=-4.08 | ds2=+2.04 | req_roll=-2.30 | req_seg=+4.08 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=91x91
[Visual] aim step 4/200 | phase=center | uv=(-0.270,-0.438) | target=(+0.400,+0.000) | delta=(-0.270,-0.438) | scale=0.027 | droll=-2.27 | ds1=-3.67 | ds2=+1.84 | req_roll=-2.27 | req_seg=+3.67 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=89x90
[Visual] aim step 5/200 | phase=center | uv=(-0.259,-0.360) | target=(+0.400,+0.000) | delta=(-0.259,-0.360) | scale=0.027 | droll=-2.18 | ds1=-3.03 | ds2=+1.51 | req_roll=-2.18 | req_seg=+3.03 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=90x89
[Visual] aim step 6/200 | phase=center | uv=(-0.253,-0.321) | target=(+0.400,+0.000) | delta=(-0.253,-0.321) | scale=0.027 | droll=-2.13 | ds1=-2.69 | ds2=+1.35 | req_roll=-2.13 | req_seg=+2.69 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=90x90
[Visual] aim step 7/200 | phase=center | uv=(-0.248,-0.296) | target=(+0.400,+0.000) | delta=(-0.248,-0.296) | scale=0.028 | droll=-2.09 | ds1=-2.48 | ds2=+1.24 | req_roll=-2.09 | req_seg=+2.48 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=91x92
[Visual] aim step 8/200 | phase=center | uv=(-0.239,-0.267) | target=(+0.400,+0.000) | delta=(-0.239,-0.267) | scale=0.030 | droll=-2.01 | ds1=-2.24 | ds2=+1.12 | req_roll=-2.01 | req_seg=+2.24 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=95x96
[Visual] aim step 9/200 | phase=center | uv=(-0.233,-0.252) | target=(+0.400,+0.000) | delta=(-0.233,-0.252) | scale=0.031 | droll=-1.96 | ds1=-2.12 | ds2=+1.06 | req_roll=-1.96 | req_seg=+2.12 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=97x97
[Visual] aim step 10/200 | phase=center | uv=(-0.227,-0.238) | target=(+0.400,+0.000) | delta=(-0.227,-0.238) | scale=0.033 | droll=-1.90 | ds1=-2.00 | ds2=+1.00 | req_roll=-1.90 | req_seg=+2.00 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=99x100
[Visual] aim step 11/200 | phase=center | uv=(-0.219,-0.231) | target=(+0.400,+0.000) | delta=(-0.219,-0.231) | scale=0.035 | droll=-1.84 | ds1=-1.94 | ds2=+0.97 | req_roll=-1.84 | req_seg=+1.94 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=102x103
[Visual] aim step 12/200 | phase=center | uv=(-0.208,-0.227) | target=(+0.400,+0.000) | delta=(-0.208,-0.227) | scale=0.035 | droll=-1.75 | ds1=-1.91 | ds2=+0.95 | req_roll=-1.75 | req_seg=+1.91 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x103
[Visual] aim step 13/200 | phase=center | uv=(-0.202,-0.225) | target=(+0.400,+0.000) | delta=(-0.202,-0.225) | scale=0.036 | droll=-1.69 | ds1=-1.89 | ds2=+0.95 | req_roll=-1.69 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 14/200 | phase=center | uv=(-0.198,-0.225) | target=(+0.400,+0.000) | delta=(-0.198,-0.225) | scale=0.036 | droll=-1.67 | ds1=-1.89 | ds2=+0.95 | req_roll=-1.67 | req_seg=+1.89 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=103x104
[Visual] aim step 15/200 | phase=center | uv=(-0.188,-0.223) | target=(+0.400,+0.000) | delta=(-0.188,-0.223) | scale=0.036 | droll=-1.57 | ds1=-1.87 | ds2=+0.94 | req_roll=-1.58 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x105
[Visual] aim step 16/200 | phase=center | uv=(-0.181,-0.219) | target=(+0.400,+0.000) | delta=(-0.181,-0.219) | scale=0.036 | droll=-1.52 | ds1=-1.84 | ds2=+0.92 | req_roll=-1.52 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=104x105
