[Pick] look done | object=(0.322, 0.026, 0.883) view_pose=(0.189, -0.049, 1.250) look_dir=(0.334, 0.186, -0.924) standoff=300mm
[Aim] start | max_iters=200 target_uv=(+0.400,-0.200) aim_center_tol=0.040 pick_center_tol=0.160 step_scale=1.00 settle=0.08s
[Aim] acquire | track locked
[Visual] aim step 1/200 | phase=center | uv=(-0.112,-0.033) | target=(+0.400,-0.200) | delta=(-0.112,-0.033) | scale=0.035 | droll=-1.20 | ds1=+0.00 | ds2=+0.00 | req_roll=-1.20 | req_seg=+0.00 | mode=uv_jacobian_u | j_updates=0 | tracker=track | bbox=100x104
[Visual] aim step 2/200 | phase=center | uv=(-0.112,-0.033) | target=(+0.400,-0.200) | delta=(-0.112,-0.033) | scale=0.035 | droll=-1.20 | ds1=+0.00 | ds2=+0.00 | req_roll=-1.20 | req_seg=+0.00 | mode=uv_jacobian_u | j_updates=0 | tracker=track | bbox=100x104
[Visual] aim step 3/200 | phase=center | uv=(-0.108,-0.042) | target=(+0.400,-0.200) | delta=(-0.108,-0.042) | scale=0.034 | droll=-1.46 | ds1=-0.47 | ds2=-0.34 | req_roll=-1.46 | req_seg=+0.47 | mode=uv_jacobian | j_updates=1 | tracker=track | bbox=99x104
[Visual] aim step 4/200 | phase=center | uv=(-0.102,-0.046) | target=(+0.400,-0.200) | delta=(-0.102,-0.046) | scale=0.034 | droll=-1.37 | ds1=-0.50 | ds2=-0.38 | req_roll=-1.37 | req_seg=+0.50 | mode=uv_jacobian | j_updates=1 | tracker=track | bbox=99x104
[Visual] aim step 5/200 | phase=center | uv=(-0.094,-0.048) | target=(+0.400,-0.200) | delta=(-0.094,-0.048) | scale=0.035 | droll=-1.46 | ds1=-0.66 | ds2=-0.34 | req_roll=-1.46 | req_seg=+0.66 | mode=uv_jacobian | j_updates=2 | tracker=track | bbox=100x105
[Visual] aim step 6/200 | phase=center | uv=(-0.089,-0.048) | target=(+0.400,-0.200) | delta=(-0.089,-0.048) | scale=0.035 | droll=-1.39 | ds1=-0.65 | ds2=-0.35 | req_roll=-1.39 | req_seg=+0.65 | mode=uv_jacobian | j_updates=2 | tracker=track | bbox=101x105
[Visual] aim step 7/200 | phase=center | uv=(-0.080,-0.050) | target=(+0.400,-0.200) | delta=(-0.080,-0.050) | scale=0.036 | droll=-1.26 | ds1=-0.75 | ds2=-0.30 | req_roll=-1.26 | req_seg=+0.75 | mode=uv_jacobian | j_updates=3 | tracker=track | bbox=101x106
[Visual] aim step 8/200 | phase=center | uv=(-0.073,-0.050) | target=(+0.400,-0.200) | delta=(-0.073,-0.050) | scale=0.036 | droll=-1.16 | ds1=-0.73 | ds2=-0.32 | req_roll=-1.16 | req_seg=+0.73 | mode=uv_jacobian | j_updates=3 | tracker=track | bbox=101x106
[Visual] aim step 9/200 | phase=center | uv=(-0.067,-0.052) | target=(+0.400,-0.200) | delta=(-0.067,-0.052) | scale=0.036 | droll=-0.95 | ds1=-0.79 | ds2=-0.28 | req_roll=-0.95 | req_seg=+0.79 | mode=uv_jacobian | j_updates=4 | tracker=track | bbox=101x107
[Visual] aim step 10/200 | phase=center | uv=(-0.064,-0.052) | target=(+0.400,-0.200) | delta=(-0.064,-0.052) | scale=0.036 | droll=-0.91 | ds1=-0.77 | ds2=-0.29 | req_roll=-0.91 | req_seg=+0.77 | mode=uv_jacobian | j_updates=4 | tracker=track | bbox=101x107
[Visual] aim step 11/200 | phase=center | uv=(-0.056,-0.054) | target=(+0.400,-0.200) | delta=(-0.056,-0.054) | scale=0.037 | droll=-0.69 | ds1=-0.79 | ds2=-0.30 | req_roll=-0.69 | req_seg=+0.79 | mode=uv_jacobian | j_updates=5 | tracker=track | bbox=102x108
[Visual] aim step 12/200 | phase=center | uv=(-0.048,-0.056) | target=(+0.400,-0.200) | delta=(-0.048,-0.056) | scale=0.037 | droll=-0.58 | ds1=-0.78 | ds2=-0.35 | req_roll=-0.58 | req_seg=+0.78 | mode=uv_jacobian | j_updates=5 | tracker=track | bbox=103x109
[Visual] aim step 13/200 | phase=center | uv=(-0.045,-0.056) | target=(+0.400,-0.200) | delta=(-0.045,-0.056) | scale=0.037 | droll=-0.44 | ds1=-0.78 | ds2=-0.33 | req_roll=-0.44 | req_seg=+0.78 | mode=uv_jacobian | j_updates=6 | tracker=track | bbox=103x109
[Visual] aim step 14/200 | phase=center | uv=(-0.042,-0.060) | target=(+0.400,-0.200) | delta=(-0.042,-0.060) | scale=0.039 | droll=-0.40 | ds1=-0.81 | ds2=-0.38 | req_roll=-0.40 | req_seg=+0.81 | mode=uv_jacobian | j_updates=6 | tracker=track | bbox=105x111
[Visual] aim step 15/200 | phase=center | uv=(-0.039,-0.063) | target=(+0.400,-0.200) | delta=(-0.039,-0.063) | scale=0.038 | droll=+0.00 | ds1=-2.50 | ds2=+0.00 | req_roll=+0.00 | req_seg=+2.50 | mode=gain_v_only | j_updates=6 | tracker=track | bbox=103x110
[Visual] aim step 16/200 | phase=center | uv=(-0.034,-0.060) | target=(+0.400,-0.200) | delta=(-0.034,-0.060) | scale=0.037 | droll=+0.00 | ds1=-2.50 | ds2=+0.00 | req_roll=+0.00 | req_seg=+2.50 | mode=gain_v_only | j_updates=6 | tracker=track | bbox=102x109
[Visual] aim step 17/200 | phase=center | uv=(-0.034,-0.060) | target=(+0.400,-0.200) | delta=(-0.034,-0.060) | scale=0.037 | droll=+0.00 | ds1=-2.50 | ds2=+0.00 | req_roll=+0.00 | req_seg=+2.50 | mode=gain_v_only | j_updates=6 | tracker=track | bbox=102x109
[Visual] aim step 18/200 | phase=center | uv=(-0.034,-0.046) | target=(+0.400,-0.200) | delta=(-0.034,-0.046) | scale=0.037 | droll=+0.00 | ds1=-2.50 | ds2=+0.00 | req_roll=+0.00 | req_seg=+2.50 | mode=gain_v_only | j_updates=6 | tracker=track | bbox=102x108
[Pick] equal_sag accepted | total_drift=32.8mm seg1=+0.405deg seg2=+1.756deg residual=14.6mm cond=1.9 search_steps=0 center_steps=18 approach_steps=0 reacquire_u=(roll=+0.0, seg=+0.0) reason=accepted
[Pick] equal_sag drift detail | initial_object=(0.322, 0.026, 0.883) centered_object=(0.336, 0.030, 0.912) initial_ready=(0.255, -0.012, 1.067) centered_ready=(0.269, -0.008, 1.097) drift=(-0.014, -0.004, -0.029) corrected_object=(0.322, 0.026, 0.883)


