theta1_deg,theta2_deg,r_max_mm,center_x_mm,center_z_mm,phi_deg,g_mm,secure_wrap,caged,self_collision_ok,self_collision_clearance_mm,self_collision_pair
-36.0,-36.0,,,,,,False,False,False,-44.226,housing|node6
-36.0,-34.0,,,,,,False,False,False,-41.603,housing|node6
-36.0,-32.0,,,,,,False,False,False,-38.72,housing|node6
-36.0,-30.0,,,,,,False,False,False,-35.585,housing|node6
-36.0,-28.0,,,,,,False,False,False,-32.21,housing|node6
-36.0,-26.0,,,,,,False,False,False,-28.603,housing|node6
-36.0,-24.0,,,,,,False,False,False,-24.778,housing|node6
-36.0,-22.0,,,,,,False,False,False,-20.748,housing|node6
-36.0,-20.0,,,,,,False,False,False,-16.525,housing|node6
-36.0,-18.0,,,,,,False,False,False,-12.125,housing|node6
-36.0,-16.0,,,,,,False,False,False,-7.563,housing|node6
-36.0,-14.0,,,,,,False,False,False,-2.854,housing|node6
-36.0,-12.0,,,,,,False,False,False,-27.406,housing|node7
-36.0,-10.0,,,,,,False,False,False,-18.068,housing|node7
-36.0,-8.0,,,,,,False,False,False,-8.362,housing|node7
-36.0,-6.0,,,,,,False,False,False,-18.695,housing|node8
-36.0,-4.0,,,,,,False,False,False,-1.909,housing|node8
-36.0,-2.0,45.739,-285.328,181.895,74.0,88.76,False,True,True,12.141,housing|node9
-36.0,0.0,54.0,-287.0,192.567,56.0,108.0,False,False,True,12.229,housing|node1
-36.0,2.0,52.772,-285.328,226.783,50.0,105.545,False,False,True,12.229,housing|node1
-36.0,4.0,54.886,-280.347,247.709,48.0,109.771,False,False,True,12.229,housing|node1
-36.0,6.0,59.404,98.902,400.294,34.0,118.808,False,False,True,12.229,housing|node1
-36.0,8.0,78.633,98.902,423.597,24.0,157.266,False,False,True,12.229,housing|node1
-36.0,10.0,97.349,98.902,445.109,18.0,194.698,False,False,True,12.229,housing|node1
-36.0,12.0,114.752,98.902,464.464,16.0,229.503,False,False,True,12.229,housing|node1
-36.0,14.0,130.246,98.902,481.347,14.0,260.491,False,False,True,12.229,housing|node1
-36.0,16.0,143.408,98.902,495.499,12.0,286.815,False,False,True,12.229,housing|node1
-36.0,18.0,153.942,98.902,506.728,12.0,307.884,False,False,True,12.229,housing|node1
-36.0,20.0,161.659,98.902,514.907,12.0,323.317,False,False,True,12.229,housing|node1
-36.0,22.0,152.526,98.902,519.979,12.0,305.051,False,False,True,12.229,housing|node1
-36.0,24.0,130.693,98.902,482.134,28.0,261.386,False,False,True,12.229,housing|node1
-36.0,26.0,112.411,98.902,461.901,32.0,224.821,False,False,True,12.229,housing|node1
-36.0,28.0,96.396,98.902,444.118,36.0,192.792,False,False,True,12.229,housing|node1
-36.0,30.0,82.208,98.902,427.779,42.0,164.415,False,False,True,12.229,housing|node1
-36.0,32.0,69.536,98.902,413.304,46.0,139.072,False,False,True,12.229,housing|node1
-36.0,34.0,58.361,98.902,399.005,60.0,116.722,False,False,True,12.229,housing|node1
-36.0,36.0,47.986,98.902,386.18,68.0,95.972,False,False,True,12.229,housing|node1
-34.0,-36.0,,,,,,False,False,False,-20.593,housing|node6
-34.0,-34.0,,,,,,False,False,False,-17.266,housing|node6
-34.0,-32.0,,,,,,False,False,False,-13.708,housing|node6
-34.0,-30.0,,,,,,False,False,False,-9.93,housing|node6
-34.0,-28.0,,,,,,False,False,False,-5.945,housing|node6
-34.0,-26.0,,,,,,False,False,False,-1.766,housing|node6
-34.0,-24.0,,,,,,False,False,False,-41.553,housing|node7
-34.0,-22.0,,,,,,False,False,False,-34.334,housing|node7
-34.0,-20.0,,,,,,False,False,False,-26.512,housing|node7
-34.0,-18.0,,,,,,False,False,False,-18.137,housing|node7
-34.0,-16.0,,,,,,False,False,False,-9.267,housing|node7
-34.0,-14.0,,,,,,False,False,False,-35.929,housing|node8
-34.0,-12.0,,,,,,False,False,False,-21.07,housing|node8
-34.0,-10.0,,,,,,False,False,False,-5.311,housing|node8
-34.0,-8.0,,,,,,False,False,False,-12.089,housing|node9
-34.0,-6.0,34.281,-267.281,192.159,50.0,68.563,False,False,True,13.23,housing|node1
-34.0,-4.0,38.052,-271.052,194.191,46.0,76.105,False,False,True,13.23,housing|node1
-34.0,-2.0,43.515,-271.508,240.212,44.0,87.03,False,False,True,13.23,housing|node1
-34.0,0.0,51.953,-268.623,257.764,42.0,103.906,False,False,True,13.23,housing|node1
-34.0,2.0,54.787,103.182,405.467,28.0,109.573,False,False,True,13.23,housing|node1
-34.0,4.0,75.784,103.182,429.837,22.0,151.569,False,False,True,13.23,housing|node1
-34.0,6.0,96.421,103.182,452.726,18.0,192.843,False,False,True,13.23,housing|node1
-34.0,8.0,115.86,103.182,473.729,16.0,231.72,False,False,True,13.23,housing|node1
-34.0,10.0,133.501,103.182,492.485,14.0,267.002,False,False,True,13.23,housing|node1
-34.0,12.0,148.897,103.182,508.686,14.0,297.794,False,False,True,13.23,housing|node1
-34.0,14.0,161.715,103.182,522.08,12.0,323.429,False,False,True,13.23,housing|node1
-34.0,16.0,171.715,103.182,532.482,12.0,343.43,False,False,True,13.23,housing|node1
-34.0,18.0,153.991,103.182,539.776,12.0,307.982,False,False,True,13.23,housing|node1
-34.0,20.0,133.372,103.182,492.39,28.0,266.744,False,False,True,13.23,housing|node1
-34.0,22.0,115.693,103.182,473.895,32.0,231.387,False,False,True,13.23,housing|node1
-34.0,24.0,100.3,103.182,457.069,32.0,200.6,False,False,True,13.23,housing|node1
-34.0,26.0,86.459,103.182,442.215,38.0,172.917,False,False,True,13.23,housing|node1
-34.0,28.0,74.027,103.182,428.519,40.0,148.054,False,False,True,13.23,housing|node1
-34.0,30.0,62.852,103.182,415.612,48.0,125.703,False,False,True,13.23,housing|node1
-34.0,32.0,52.675,103.182,403.4,54.0,105.351,False,False,True,13.23,housing|node1
-34.0,34.0,43.221,103.182,391.214,64.0,86.443,False,False,True,13.23,housing|node1
-34.0,36.0,23.221,103.182,109.628,112.0,46.442,False,False,True,13.23,housing|node1
-32.0,-36.0,,,,,,False,False,False,-46.657,housing|node7
-32.0,-34.0,,,,,,False,False,False,-42.272,housing|node7
-32.0,-32.0,,,,,,False,False,False,-37.148,housing|node7
-32.0,-30.0,,,,,,False,False,False,-31.311,housing|node7
-32.0,-28.0,,,,,,False,False,False,-24.793,housing|node7
-32.0,-26.0,,,,,,False,False,False,-17.63,housing|node7
-32.0,-24.0,,,,,,False,False,False,-9.867,housing|node7
-32.0,-22.0,,,,,,False,False,False,-1.554,housing|node7
-32.0,-20.0,,,,,,False,False,False,-36.047,housing|node8
-32.0,-18.0,,,,,,False,False,False,-22.902,housing|node8
-32.0,-16.0,,,,,,False,False,False,-8.62,housing|node8
-32.0,-14.0,,,,,,False,False,False,-31.659,housing|node9
-32.0,-12.0,,,,,,False,False,False,-9.429,housing|node9
-32.0,-10.0,25.452,107.321,107.919,106.0,50.904,False,False,True,14.18,housing|node1
-32.0,-8.0,30.622,-155.41,250.858,102.0,57.907,False,True,True,14.18,housing|node1
-32.0,-6.0,35.964,-252.789,249.977,50.0,71.928,False,False,True,14.18,housing|node1
-32.0,-4.0,48.065,-252.035,264.082,42.0,96.13,False,False,True,14.18,housing|node1
-32.0,-2.0,49.417,107.321,408.07,28.0,98.833,False,False,True,14.18,housing|node1
-32.0,0.0,71.969,107.321,433.168,24.0,143.938,False,False,True,14.18,housing|node1
-32.0,2.0,94.247,107.321,457.123,24.0,188.493,False,False,True,14.18,housing|node1
-32.0,4.0,115.273,107.321,479.498,24.0,230.546,False,False,True,14.18,housing|node1
-32.0,6.0,134.441,107.321,499.896,24.0,268.881,False,False,True,14.18,housing|node1
-32.0,8.0,151.416,107.321,517.961,26.0,302.832,False,False,True,14.18,housing|node1
-32.0,10.0,165.915,107.321,533.391,30.0,331.831,False,False,True,14.18,housing|node1
-32.0,12.0,174.597,107.321,545.944,66.0,349.195,False,False,True,14.18,housing|node1
-32.0,14.0,152.788,107.321,555.442,14.0,305.577,False,False,True,14.18,housing|node1
-32.0,16.0,133.653,107.321,499.695,58.0,267.305,False,False,True,14.18,housing|node1
-32.0,18.0,117.623,107.321,482.018,48.0,235.246,False,False,True,14.18,housing|node1
-32.0,20.0,103.311,107.321,466.892,44.0,206.621,False,False,True,14.18,housing|node1
-32.0,22.0,90.323,107.321,453.444,46.0,180.646,False,False,True,14.18,housing|node1
-32.0,24.0,78.867,107.321,440.714,50.0,157.733,False,False,True,14.18,housing|node1
-32.0,26.0,68.105,107.321,429.371,50.0,136.211,False,False,True,14.18,housing|node1
-32.0,28.0,58.268,107.321,418.062,52.0,116.536,False,False,True,14.18,housing|node1
-32.0,30.0,37.341,-46.495,257.576,78.0,74.67,False,True,True,14.18,housing|node1
-32.0,32.0,35.931,-41.683,255.878,84.0,71.687,False,True,True,14.18,housing|node1
-32.0,34.0,35.415,114.606,386.267,72.0,70.829,False,False,True,14.18,housing|node1
-32.0,36.0,37.335,123.943,104.647,78.0,74.669,False,False,True,14.18,housing|node1
-30.0,-36.0,,,,,,False,False,False,-22.156,housing|node7
-30.0,-34.0,,,,,,False,False,False,-16.389,housing|node7
-30.0,-32.0,,,,,,False,False,False,-9.948,housing|node7
-30.0,-30.0,,,,,,False,False,False,-2.867,housing|node7
-30.0,-28.0,,,,,,False,False,False,-44.703,housing|node8
-30.0,-26.0,,,,,,False,False,False,-35.028,housing|node8
-30.0,-24.0,,,,,,False,False,False,-23.924,housing|node8
-30.0,-22.0,,,,,,False,False,False,-11.495,housing|node8
-30.0,-20.0,,,,,,False,False,False,-44.853,housing|node9
-30.0,-18.0,,,,,,False,False,False,-26.491,housing|node9
-30.0,-16.0,,,,,,False,False,False,-5.928,housing|node9
-30.0,-14.0,40.157,-62.521,260.104,102.0,73.929,False,True,True,10.904,housing|gripper_claw_left
-30.0,-12.0,42.019,-83.609,261.966,84.0,79.925,False,True,True,15.079,housing|node1
-30.0,-10.0,42.987,-139.086,262.934,92.0,82.644,False,True,True,15.079,housing|node1
-30.0,-8.0,49.66,-159.686,269.607,88.0,94.459,False,True,True,15.079,housing|node1
-30.0,-6.0,58.87,-228.864,278.817,52.0,117.095,False,True,True,15.079,housing|node1
-30.0,-4.0,64.997,111.301,433.481,34.0,129.994,False,False,True,15.079,housing|node1
-30.0,-2.0,86.372,111.301,458.163,30.0,172.744,False,False,True,15.079,housing|node1
-30.0,0.0,106.671,111.301,481.603,26.0,213.343,False,False,True,15.079,housing|node1
-30.0,2.0,125.107,111.301,503.37,26.0,250.213,False,False,True,15.079,housing|node1
-30.0,4.0,140.803,111.301,523.071,26.0,281.606,False,False,True,15.079,housing|node1
-30.0,6.0,152.447,111.301,540.358,28.0,304.894,False,False,True,15.079,housing|node1
-30.0,8.0,157.304,111.301,554.935,32.0,314.608,False,False,True,15.079,housing|node1
-30.0,10.0,147.801,111.301,566.57,28.0,295.602,False,False,True,15.079,housing|node1
-30.0,12.0,124.979,111.301,575.095,16.0,249.959,False,False,True,15.079,housing|node1
-30.0,14.0,107.44,111.301,507.012,48.0,214.88,False,False,True,15.079,housing|node1
-30.0,16.0,94.551,111.301,481.518,64.0,189.101,False,False,True,15.079,housing|node1
-30.0,18.0,84.514,111.301,466.469,74.0,169.029,False,False,True,15.079,housing|node1
-30.0,20.0,76.319,111.301,453.107,90.0,152.638,False,False,True,15.079,housing|node1
-30.0,22.0,69.743,111.301,440.142,136.0,139.486,False,False,True,15.079,housing|node1
-30.0,24.0,62.595,111.301,431.214,154.0,125.19,False,False,True,15.079,housing|node1
-30.0,26.0,54.981,111.301,422.51,82.0,109.962,False,False,True,15.079,housing|node1
