theta1_deg,theta2_deg,r_max_mm,center_x_mm,center_z_mm,phi_deg,g_mm,secure_wrap,caged,self_collision_ok,self_collision_clearance_mm,self_collision_pair
-36.0,-36.0,,,,,,False,False,False,-44.226,housing|node6
-36.0,-34.0,,,,,,False,False,False,-41.603,housing|node6
-36.0,-32.0,,,,,,False,False,False,-38.72,housing|node6
-36.0,-30.0,,,,,,False,False,False,-35.585,housing|node6
-36.0,-28.0,,,,,,False,False,False,-32.21,housing|node6
-36.0,-26.0,,,,,,False,False,False,-28.603,housing|node6
-36.0,-24.0,,,,,,False,False,False,-24.778,housing|node6
-36.0,-22.0,,,,,,False,False,False,-20.748,housing|node6
-36.0,-20.0,,,,,,False,False,False,-16.525,housing|node6
-36.0,-18.0,,,,,,False,False,False,-12.125,housing|node6
-36.0,-16.0,,,,,,False,False,False,-7.563,housing|node6
-36.0,-14.0,,,,,,False,False,False,-2.854,housing|node6
-36.0,-12.0,,,,,,False,False,False,-27.406,housing|node7
-36.0,-10.0,,,,,,False,False,False,-18.068,housing|node7
-36.0,-8.0,,,,,,False,False,False,-8.362,housing|node7
-36.0,-6.0,,,,,,False,False,False,-18.695,housing|node8
-36.0,-4.0,,,,,,False,False,False,-1.909,housing|node8
-36.0,-2.0,37.739,-285.328,181.895,82.0,72.554,False,True,True,12.141,housing|node9
-36.0,0.0,46.0,-287.0,192.567,60.0,92.0,False,False,True,12.229,housing|node1
-36.0,2.0,44.772,-285.328,226.783,62.0,89.545,False,False,True,12.229,housing|node1
-36.0,4.0,46.886,-280.347,247.709,60.0,93.771,False,False,True,12.229,housing|node1
-36.0,6.0,51.404,98.902,400.294,36.0,102.808,False,False,True,12.229,housing|node1
-36.0,8.0,70.633,98.902,423.597,24.0,141.266,False,False,True,12.229,housing|node1
-36.0,10.0,89.349,98.902,445.109,20.0,178.698,False,False,True,12.229,housing|node1
-36.0,12.0,106.752,98.902,464.464,16.0,213.503,False,False,True,12.229,housing|node1
-36.0,14.0,122.246,98.902,481.347,14.0,244.491,False,False,True,12.229,housing|node1
-36.0,16.0,135.408,98.902,495.499,14.0,270.815,False,False,True,12.229,housing|node1
-36.0,18.0,145.942,98.902,506.728,14.0,291.884,False,False,True,12.229,housing|node1
-36.0,20.0,153.659,98.902,514.907,12.0,307.317,False,False,True,12.229,housing|node1
-36.0,22.0,144.526,98.902,519.979,14.0,289.051,False,False,True,12.229,housing|node1
-36.0,24.0,122.693,98.902,482.134,28.0,245.386,False,False,True,12.229,housing|node1
-36.0,26.0,104.411,98.902,461.901,32.0,208.821,False,False,True,12.229,housing|node1
-36.0,28.0,88.396,98.902,444.118,40.0,176.792,False,False,True,12.229,housing|node1
-36.0,30.0,74.208,98.902,427.779,46.0,148.415,False,False,True,12.229,housing|node1
-36.0,32.0,61.536,98.902,413.304,54.0,123.072,False,False,True,12.229,housing|node1
-36.0,34.0,50.361,98.902,399.005,66.0,100.722,False,False,True,12.229,housing|node1
-36.0,36.0,39.986,98.902,386.18,82.0,79.972,False,False,True,12.229,housing|node1
-34.0,-36.0,,,,,,False,False,False,-20.593,housing|node6
-34.0,-34.0,,,,,,False,False,False,-17.266,housing|node6
-34.0,-32.0,,,,,,False,False,False,-13.708,housing|node6
-34.0,-30.0,,,,,,False,False,False,-9.93,housing|node6
-34.0,-28.0,,,,,,False,False,False,-5.945,housing|node6
-34.0,-26.0,,,,,,False,False,False,-1.766,housing|node6
-34.0,-24.0,,,,,,False,False,False,-41.553,housing|node7
-34.0,-22.0,,,,,,False,False,False,-34.334,housing|node7
-34.0,-20.0,,,,,,False,False,False,-26.512,housing|node7
-34.0,-18.0,,,,,,False,False,False,-18.137,housing|node7
-34.0,-16.0,,,,,,False,False,False,-9.267,housing|node7
-34.0,-14.0,,,,,,False,False,False,-35.929,housing|node8
-34.0,-12.0,,,,,,False,False,False,-21.07,housing|node8
-34.0,-10.0,,,,,,False,False,False,-5.311,housing|node8
-34.0,-8.0,,,,,,False,False,False,-12.089,housing|node9
-34.0,-6.0,26.281,-267.281,192.159,54.0,52.563,False,False,True,13.23,housing|node1
-34.0,-4.0,30.052,-271.052,194.191,50.0,60.105,False,False,True,13.23,housing|node1
-34.0,-2.0,35.515,-271.508,240.212,58.0,71.03,False,False,True,13.23,housing|node1
-34.0,0.0,43.953,-268.623,257.764,58.0,87.906,False,False,True,13.23,housing|node1
-34.0,2.0,46.787,103.182,405.467,32.0,93.573,False,False,True,13.23,housing|node1
-34.0,4.0,67.784,103.182,429.837,24.0,135.569,False,False,True,13.23,housing|node1
-34.0,6.0,88.421,103.182,452.726,20.0,176.843,False,False,True,13.23,housing|node1
-34.0,8.0,107.86,103.182,473.729,16.0,215.72,False,False,True,13.23,housing|node1
-34.0,10.0,125.501,103.182,492.485,16.0,251.002,False,False,True,13.23,housing|node1
-34.0,12.0,140.897,103.182,508.686,14.0,281.794,False,False,True,13.23,housing|node1
-34.0,14.0,153.715,103.182,522.08,12.0,307.429,False,False,True,13.23,housing|node1
-34.0,16.0,163.715,103.182,532.482,14.0,327.43,False,False,True,13.23,housing|node1
-34.0,18.0,145.991,103.182,539.776,14.0,291.982,False,False,True,13.23,housing|node1
-34.0,20.0,125.372,103.182,492.39,32.0,250.744,False,False,True,13.23,housing|node1
-34.0,22.0,107.693,103.182,473.895,32.0,215.387,False,False,True,13.23,housing|node1
-34.0,24.0,92.3,103.182,457.069,40.0,184.6,False,False,True,13.23,housing|node1
-34.0,26.0,78.459,103.182,442.215,42.0,156.917,False,False,True,13.23,housing|node1
-34.0,28.0,66.027,103.182,428.519,48.0,132.054,False,False,True,13.23,housing|node1
-34.0,30.0,54.852,103.182,415.612,52.0,109.703,False,False,True,13.23,housing|node1
-34.0,32.0,44.675,103.182,403.4,64.0,89.351,False,False,True,13.23,housing|node1
-34.0,34.0,35.221,103.182,391.214,72.0,70.443,False,False,True,13.23,housing|node1
-34.0,36.0,15.221,103.182,109.628,140.0,30.442,False,False,True,13.23,housing|node1
-32.0,-36.0,,,,,,False,False,False,-46.657,housing|node7
-32.0,-34.0,,,,,,False,False,False,-42.272,housing|node7
-32.0,-32.0,,,,,,False,False,False,-37.148,housing|node7
-32.0,-30.0,,,,,,False,False,False,-31.311,housing|node7
-32.0,-28.0,,,,,,False,False,False,-24.793,housing|node7
-32.0,-26.0,,,,,,False,False,False,-17.63,housing|node7
-32.0,-24.0,,,,,,False,False,False,-9.867,housing|node7
-32.0,-22.0,,,,,,False,False,False,-1.554,housing|node7
-32.0,-20.0,,,,,,False,False,False,-36.047,housing|node8
-32.0,-18.0,,,,,,False,False,False,-22.902,housing|node8
-32.0,-16.0,,,,,,False,False,False,-8.62,housing|node8
-32.0,-14.0,,,,,,False,False,False,-31.659,housing|node9
-32.0,-12.0,,,,,,False,False,False,-9.429,housing|node9
-32.0,-10.0,17.452,107.321,107.919,130.0,34.904,False,False,True,14.18,housing|node1
-32.0,-8.0,22.622,-155.41,250.858,118.0,41.647,False,True,True,14.18,housing|node1
-32.0,-6.0,27.964,-252.789,249.977,70.0,55.928,False,False,True,14.18,housing|node1
-32.0,-4.0,40.065,-252.035,264.082,58.0,80.13,False,False,True,14.18,housing|node1
-32.0,-2.0,41.417,107.321,408.07,36.0,82.833,False,False,True,14.18,housing|node1
-32.0,0.0,63.969,107.321,433.168,28.0,127.938,False,False,True,14.18,housing|node1
-32.0,2.0,86.247,107.321,457.123,26.0,172.493,False,False,True,14.18,housing|node1
-32.0,4.0,107.273,107.321,479.498,24.0,214.546,False,False,True,14.18,housing|node1
-32.0,6.0,126.441,107.321,499.896,24.0,252.881,False,False,True,14.18,housing|node1
-32.0,8.0,143.416,107.321,517.961,26.0,286.832,False,False,True,14.18,housing|node1
-32.0,10.0,157.915,107.321,533.391,30.0,315.831,False,False,True,14.18,housing|node1
-32.0,12.0,166.597,107.321,545.944,66.0,333.195,False,False,True,14.18,housing|node1
-32.0,14.0,144.788,107.321,555.442,16.0,289.577,False,False,True,14.18,housing|node1
-32.0,16.0,125.653,107.321,499.695,60.0,251.305,False,False,True,14.18,housing|node1
-32.0,18.0,109.623,107.321,482.018,48.0,219.246,False,False,True,14.18,housing|node1
-32.0,20.0,95.311,107.321,466.892,52.0,190.621,False,False,True,14.18,housing|node1
-32.0,22.0,82.323,107.321,453.444,48.0,164.646,False,False,True,14.18,housing|node1
-32.0,24.0,70.867,107.321,440.714,52.0,141.733,False,False,True,14.18,housing|node1
-32.0,26.0,60.105,107.321,429.371,54.0,120.211,False,False,True,14.18,housing|node1
-32.0,28.0,50.268,107.321,418.062,60.0,100.536,False,False,True,14.18,housing|node1
-32.0,30.0,29.341,-46.495,257.576,94.0,58.458,False,True,True,14.18,housing|node1
-32.0,32.0,27.931,-41.683,255.878,100.0,55.318,False,True,True,14.18,housing|node1
-32.0,34.0,27.415,114.606,386.267,88.0,54.829,False,False,True,14.18,housing|node1
-32.0,36.0,29.335,123.943,104.647,92.0,58.669,False,False,True,14.18,housing|node1
-30.0,-36.0,,,,,,False,False,False,-22.156,housing|node7
-30.0,-34.0,,,,,,False,False,False,-16.389,housing|node7
-30.0,-32.0,,,,,,False,False,False,-9.948,housing|node7
-30.0,-30.0,,,,,,False,False,False,-2.867,housing|node7
-30.0,-28.0,,,,,,False,False,False,-44.703,housing|node8
-30.0,-26.0,,,,,,False,False,False,-35.028,housing|node8
-30.0,-24.0,,,,,,False,False,False,-23.924,housing|node8
-30.0,-22.0,,,,,,False,False,False,-11.495,housing|node8
-30.0,-20.0,,,,,,False,False,False,-44.853,housing|node9
-30.0,-18.0,,,,,,False,False,False,-26.491,housing|node9
-30.0,-16.0,,,,,,False,False,False,-5.928,housing|node9
-30.0,-14.0,32.157,-62.521,260.104,112.0,58.288,False,True,True,10.904,housing|gripper_claw_left
-30.0,-12.0,34.019,-83.609,261.966,100.0,63.084,False,True,True,15.079,housing|node1
-30.0,-10.0,34.987,-139.086,262.934,100.0,66.55,False,True,True,15.079,housing|node1
-30.0,-8.0,41.66,-159.686,269.607,90.0,78.781,False,True,True,15.079,housing|node1
-30.0,-6.0,50.87,-228.864,278.817,60.0,100.487,False,True,True,15.079,housing|node1
-30.0,-4.0,56.997,111.301,433.481,38.0,113.994,False,False,True,15.079,housing|node1
-30.0,-2.0,78.372,111.301,458.163,30.0,156.744,False,False,True,15.079,housing|node1
-30.0,0.0,98.671,111.301,481.603,30.0,197.343,False,False,True,15.079,housing|node1
-30.0,2.0,117.107,111.301,503.37,28.0,234.213,False,False,True,15.079,housing|node1
-30.0,4.0,132.803,111.301,523.071,28.0,265.606,False,False,True,15.079,housing|node1
-30.0,6.0,144.447,111.301,540.358,28.0,288.894,False,False,True,15.079,housing|node1
-30.0,8.0,149.304,111.301,554.935,32.0,298.608,False,False,True,15.079,housing|node1
-30.0,10.0,139.801,111.301,566.57,28.0,279.602,False,False,True,15.079,housing|node1
-30.0,12.0,116.979,111.301,575.095,18.0,233.959,False,False,True,15.079,housing|node1
-30.0,14.0,99.44,111.301,507.012,48.0,198.88,False,False,True,15.079,housing|node1
-30.0,16.0,86.551,111.301,481.518,64.0,173.101,False,False,True,15.079,housing|node1
-30.0,18.0,76.514,111.301,466.469,76.0,153.029,False,False,True,15.079,housing|node1
-30.0,20.0,68.319,111.301,453.107,92.0,136.638,False,False,True,15.079,housing|node1
-30.0,22.0,61.743,111.301,440.142,138.0,123.486,False,False,True,15.079,housing|node1
-30.0,24.0,54.595,111.301,431.214,156.0,109.19,False,False,True,15.079,housing|node1
-30.0,26.0,46.981,111.301,422.51,92.0,93.962,False,False,True,15.079,housing|node1
